,예측 값,실제값
149,144.01052384699997,189.86685292637765
150,633.424985547,445.782245185983
151,764.8379428669999,660.9577854829828
152,996.9805993409998,1017.6021460784345
153,1536.1489194600001,1456.5867731556996
154,1655.899174943001,1852.6689165304915
155,1893.0849824460006,2025.13118007547
156,1714.7115693170003,1883.0040244353393
157,1763.129786732,2133.362911991412
158,2130.9469119959986,2217.5938234411474
159,1851.4257460030005,2030.6102897058356
160,1859.5563305699998,1978.6158436440596
161,2221.037016838999,1915.6695602454943
162,2028.053592792001,1771.7699391933024
163,1658.710892262,1405.392688734051
164,1344.2537692349997,1229.0793899415723
165,907.9154097260001,876.1615600952811
166,790.0964694249999,638.583386937192
167,370.533222761,519.6452938303864
168,331.391442438,381.60342423531876
169,153.123740758,171.8687447611285
170,158.431705736,0.802
171,166.11084438400002,0.802
172,195.61423333800002,0.802
173,289.894521794,92.38657590719099
174,496.9946546370001,435.06306316577087
175,849.4564537499998,520.8823044273913
176,954.6329993700002,966.4159250987866
177,1403.1654818670006,1218.454056392191
178,1669.5711131620003,1544.141413387198
179,1727.694225856,1861.2621771188708
180,1750.3434300200001,1823.8705987035478
181,1877.4769530619997,1967.719620215911
182,2129.5410529539986,2066.2615402546644
183,1849.7840839250007,2084.6018221098584
184,1805.5649333740002,2037.2071477295337
185,1942.6150245429988,1921.4094170540761
186,1453.7702827650003,1852.2429231073393
187,1427.562532107,1477.4250084196874
188,1080.424762448,1262.7631845093151
189,937.125150347,819.9657567467403
190,631.2843263220001,634.8481380240745
191,491.691877361,498.60568607343174
192,314.944942808,206.37405533742412
193,223.586320232,97.3983449397558
194,100.142645735,0.802
195,77.81656287800001,0.802
196,162.500561569,0.802
197,418.02876677799986,78.87311549852693
198,772.7420834420001,405.9971318942267
199,882.635837609,552.6658811412985
200,1399.8414419149995,1257.7365077012912
201,1705.1945228289999,1692.8470790196923
202,1890.2089923930002,1800.3813578190773
203,1917.7471293809992,1742.1656755427816
204,2386.778775051,1951.2704391803493
205,2076.7454118659994,1896.4159794889783
206,1655.2012183919996,2130.2462538489926
207,1886.0743652269991,2188.3477452718907
208,2087.642608611999,2163.576763341355
209,2423.796246147999,2217.5967864772633
210,2234.5289974240004,2079.98381636
211,1562.6856303650002,1534.9661441278615
212,1758.3587979400002,1522.616209595987
213,1098.6769616529998,1017.5486974654174
214,834.880248991,690.4230713433661
