±¸ºÐ,¿¬µµ,ÀÏÀÚ,¿¬µµº° ½ÃÇàÈ¸Â÷,1½Ã,2½Ã,3½Ã,4½Ã,5½Ã,6½Ã,7½Ã,8½Ã,9½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,ÃÑÁ¦¾î·®
Ç³·Â,2020,325,20,0,0,0,0,0,0,0,0,0,0,0,0.083333333,19.93333333,21,12.4,0,0,0,0,0,0,0,0,0,53.41666667
Ç³·Â,2020,401,21,0,0,0,0,0,0,0,0,0,0,3.333333333,22.96,76.78333333,84.45,64.96666667,35.88,6.8,0,0,0,0,0,0,0,295.1733333
Ç³·Â,2020,404,22,0,0,0,0,0,0,0,0,0,2.4,46.45,100.4,104,104,96.33333333,58.05,14.75,0,0,0,0,0,0,0,526.3833333
Ç³·Â,2020,405,23,0,0,0,0,0,0,0,0,7.631666667,66.43,99,131.57,136.4,136.4,136.19,103.675,17.30666667,0,0,0,0,0,0,0,834.6033333
Ç³·Â,2020,409,24,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.933333333,0,0,0,0,0,0,0,0,0,0,3.333333333
Ç³·Â,2020,412,25,0,0,0,0,0,0,0,0,0,0,0,0,4.266666667,9.866666667,0,0,0,0,0,0,0,0,0,0,14.13333333
Ç³·Â,2020,413,26,0,0,0,0,0,0,0,0,0,1.9,33.895,104.0766667,126.2,110,87.96833333,35.35333333,1.866666667,0,0,0,0,0,0,0,501.26
Ç³·Â,2020,418,27,0,0,0,0,0,0,0,0,0,2.266666667,2.55,0,15.63333333,19,11,1.8,0,0,0,0,0,0,0,0,52.25
Ç³·Â,2020,420,28,0,0,0,0,0,0,0,0,0,0,0,0,6.716666667,25.06666667,0.666666667,0,0,0,0,0,0,0,0,0,32.45
Ç³·Â,2020,421,29,0,0,0,0,0,0,0,0,0,0,0,91.595,159.1483333,144.7,118.385,85.48,38.005,0.5,0,0,0,0,0,0,637.8133333
Ç³·Â,2020,422,30,0,0,0,0,0,0,0,0,0,49,80.55,134.95,154.8666667,152.8666667,131.9333333,106.2666667,36.66666667,0,0,0,0,0,0,0,847.1
Ç³·Â,2020,423,31,0,0,0,0,0,0,0,0,0.2,12,38.87166667,87.36666667,153.9,160.9,152.625,97.2,14.30333333,0,0,0,0,0,0,0,717.3666667
Ç³·Â,2020,424,32,0,0,0,0,0,0,0,0,0,0,0,0,10.65,19,15.68333333,0,0,0,0,0,0,0,0,0,45.33333333
Ç³·Â,2020,425,33,0,0,0,0,0,0,0,0,22.5,88.88333333,128.3333333,161.4583333,163.5,163.4583333,152.1666667,107.3666667,61.58333333,10.26666667,0,0,0,0,0,0,1059.516667
