구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2020년07월06일,1772.5,1373.31,1207.59,723.27
2020년07월07일,1772.5,1373.31,1207.34,723.7
2020년07월08일,1772.5,1373.31,1207.34,723.7
2020년07월09일,1772.5,1373.4,1207.34,723.45
2020년07월10일,1772.5,1373.4,1207.45,723.47
2020년07월11일,1772.5,1373.4,1207.45,723.62
2020년07월12일,1772.5,1373.4,1207.45,723.62
2020년07월13일,1772.5,1373.4,1207.45,723.58
2020년07월14일,1772.5,1373.29,1207.45,723.49
2020년07월15일,1768.33,1373.2,1207.14,722.59
2020년07월16일,1768.33,1372.97,1206.89,722.67
2020년07월17일,1768.33,1372.92,1206.83,722.34
2020년07월18일,1768.33,1373.15,1206.73,722.22
2020년07월19일,1768.33,1373.2,1206.76,721.84
2020년07월20일,1768.33,1373.2,1206.83,721.97
2020년07월21일,1768.33,1373.2,1206.45,721.63
2020년07월22일,1778.33,1373.2,1206.76,721.97
2020년07월23일,1778.33,1373.04,1206.68,721.95
2020년07월24일,1778.33,1373.04,1206.83,721.69
2020년07월25일,1787.5,1373.2,1206.83,721.99
2020년07월26일,1787.5,1373.2,1206.83,722.28
2020년07월27일,1778.33,1373.2,1207.15,722.46
2020년07월28일,1778.33,1373.2,1206.83,722.59
2020년07월29일,1778.33,1372.94,1206.5,722.46
2020년07월30일,1778.33,1373.09,1206.99,722.57
2020년07월31일,1778.33,1372.92,1206.73,722.28
2020년08월01일,1778.33,1372.92,1206.73,722.37
2020년08월02일,1778.33,1372.92,1206.73,722.25
2020년08월03일,1778.33,1372.92,1206.73,722.03
2020년08월04일,1778.33,1372.89,1206.71,721.78
2020년08월05일,1778.33,1372.94,1206.74,721.8
2020년08월06일,1778.33,1372.94,1206.82,721.45
2020년08월07일,1778.33,1372.94,1206.93,720.78
2020년08월08일,1778.33,1372.94,1206.87,720.78
2020년08월09일,1778.33,1372.94,1206.79,720.59
2020년08월10일,1778.33,1372.94,1206.87,721.35
2020년08월11일,1778.33,1372.94,1206.87,721.83
2020년08월12일,1778.33,1372.99,1207.12,722.18
2020년08월13일,1778.33,1372.99,1207.03,722.69
2020년08월14일,1778.33,1372.99,1206.74,722.49
2020년08월15일,1778.33,1373.15,1206.92,722.38
2020년08월16일,1778.33,1373.15,1206.95,722.74
2020년08월17일,1778.33,1373.25,1206.97,722.99
2020년08월18일,1778.33,1373.25,1207.03,723.27
2020년08월19일,1778.33,1373.3,1207.03,723.23
2020년08월20일,1788.33,1373.3,1207.03,723.23
2020년08월21일,1788.33,1373.3,1207.16,723.23
2020년08월22일,1798.33,1373.3,1206.77,723.48
2020년08월23일,1798.33,1373.3,1207.03,723.41
2020년08월24일,1798.33,1373.2,1206.95,723.21
2020년08월25일,1798.33,1373.3,1207.03,723.17
2020년08월26일,1798.33,1373.3,1207.03,723.13
2020년08월27일,1798.33,1373.3,1207.03,723.02
2020년08월28일,1798.33,1373.34,1207.15,722.73
2020년08월29일,1788.33,1373.34,1207.04,722.33
2020년08월30일,1788.33,1373.34,1207.04,722.2
2020년08월31일,1788.33,1373.34,1207.34,722.3
2020년09월01일,1788.33,1373.34,1206.96,722.51
2020년09월02일,1788.33,1376.61,1209.38,723.93
2020년09월03일,1788.33,1391.1,1220.06,726.63
2020년09월04일,1798.33,1405.66,1230.91,738.17
2020년09월05일,1798.33,1418.21,1241.2,748.43
2020년09월06일,1798.33,1419.49,1242.1,751.4
2020년09월07일,1798.33,1420.99,1242.81,754.17
2020년09월08일,1798.33,1423.64,1244.6,758.6
2020년09월09일,1798.33,1422.34,1242.99,760.34
2020년09월10일,1798.33,1421.74,1242.81,761.62
2020년09월11일,1798.33,1422.14,1242.8,761.89
2020년09월12일,1798.33,1422.14,1242.59,762.71
2020년09월13일,1798.33,1421.91,1242.67,763.45
2020년09월14일,1798.33,1420.13,1241.14,764.16
2020년09월15일,1798.33,1419.98,1240.66,764.89
2020년09월16일,1798.33,1419.88,1240.63,764.89
2020년09월17일,1798.33,1419.82,1240.48,765.25
2020년09월18일,1798.33,1418.95,1239.76,763.66
2020년09월19일,1798.33,1418.69,1239.29,763.62
2020년09월20일,1798.33,1418.48,1239.15,763.01
2020년09월21일,1798.33,1418.38,1238.79,763.24
2020년09월22일,1798.33,1417.25,1237.12,761.8
2020년09월23일,1798.33,1414.97,1234.48,760.57
2020년09월24일,1798.33,1414.24,1233.7,759.43
2020년09월25일,1798.33,1413.67,1232.88,759.43
2020년09월26일,1798.33,1412.12,1231.42,759.03
2020년09월27일,1798.33,1411.76,1231.11,758.46
2020년09월28일,1798.33,1411.03,1230.18,756.97
2020년09월29일,1798.33,1392.14,1187.95,740.96
2020년09월30일,1798.33,1391.1,1184.82,735.4
2020년10월01일,1798.33,1391.82,1184.51,733.18
2020년10월02일,1798.33,1390.79,1182.85,732.02
2020년10월03일,1798.33,1390.01,1181.74,730.4
2020년10월04일,1798.33,1389.91,1181.82,730.22
2020년10월05일,1798.33,1387.51,1179.17,726.91
2020년10월06일,1786,1386.05,1177.54,725.45
2020년10월07일,1786,1385.58,1177.75,723.56
2020년10월08일,1786,1385.46,1177.22,723.3
2020년10월09일,1786,1385.37,1177.12,723.04
2020년10월10일,1786,1385.37,1176.89,722.65
2020년10월11일,1786,1385.09,1176.95,722.58
2020년10월12일,1786,1384.49,1176.22,722.08
2020년10월13일,1786,1384.19,1175.88,721.28
2020년10월14일,1786,1383.98,1175.51,722.43
2020년10월15일,1786,1383.9,1175.38,721.58
2020년10월16일,1789.33,1383.58,1175.07,721.26
2020년10월17일,1789.33,1383.36,1174.85,722.51
2020년10월18일,1789.33,1383.57,1175.16,721.84
2020년10월19일,1789.33,1383.34,1174.88,720.5
2020년10월20일,1789.33,1383.38,1174.8,720.17
2020년10월21일,1786,1383.23,1174.79,720.28
2020년10월22일,1786,1383.13,1174.49,720.06
2020년10월23일,1789.33,1383.08,1174.49,719.92
2020년10월24일,1789.33,1383.08,1174.33,720.16
2020년10월25일,1789.33,1383.35,1174.33,720.44
2020년10월26일,1786,1383.42,1174.35,720.72
2020년10월27일,1789.33,1382.8,1173.68,720.08
2020년10월28일,1789.33,1382.54,1173.22,720.14
2020년10월29일,1786,1382.06,1173.17,719.81
2020년10월30일,1789.33,1381.57,1172.78,719.67
2020년10월31일,1786,1381.39,1172.49,719.78
2020년11월01일,1786,1381.13,1171.92,719.72
2020년11월02일,1786,1380.08,1171.39,719.26
2020년11월03일,1786,1379.77,1170.95,718.63
2020년11월04일,1789.33,1379.62,1170.87,718.2
2020년11월05일,1786,1379.31,1170.48,717.02
2020년11월06일,1786,1378.89,1170.21,717.49
2020년11월07일,1786,1378.58,1169.73,717.2
2020년11월08일,1786,1378.53,1169.73,716.81
2020년11월09일,1786,1378.32,1169.34,717.34
2020년11월10일,1786,1378.27,1169.36,717.25
2020년11월11일,1786,1378.27,1169.26,717.71
